S. No,Identified Phishing/Suspected Domain Name,Critical Sector Entity Name,Phishing/Suspected Domains (i.e. Class Label)
39,raju.vercel.app/,State Bank of India (SBI),Phishing
40,sblk.replit.app/,State Bank of India (SBI),Phishing
41,rewdzpoint.replit.app/,State Bank of India (SBI),Phishing
42,messein.pages.dev/,State Bank of India (SBI),Phishing
43,sbi.profileapps.in,State Bank of India (SBI),Phishing
44,cute-choux-a0064b.netlify.app/,State Bank of India (SBI),Phishing
45,claim-s.replit.app/,State Bank of India (SBI),Phishing
46,sywyqe-s.replit.app/,State Bank of India (SBI),Phishing
47,kali-beta.vercel.app/,State Bank of India (SBI),Phishing
48,01a-five.vercel.app/b2.html,State Bank of India (SBI),Phishing
49,011-two.vercel.app/,State Bank of India (SBI),Phishing
50,08c97d5d-2445-4cd3-a308-8a55c32167a9-00-21ng9b1eqafu3.sisko.replit.dev/,State Bank of India (SBI),Phishing
51,cardsactivateed.online/sbibank,State Bank of India (SBI),Phishing
52,http://sbi.loginprofile.in,State Bank of India (SBI),Phishing
53,trained.replit.app/,State Bank of India (SBI),Phishing
54,http://13.61.0.81,State Bank of India (SBI),Phishing
55,http://54.163.52.162,State Bank of India (SBI),Phishing
56,onlyoffer.replit.app,State Bank of India (SBI),Phishing
57,sbifinanceonline.com,State Bank of India (SBI),Phishing
58,sb-p-2avb.vercel.app/,State Bank of India (SBI),Phishing
59,sb-p-19of.vercel.app/,State Bank of India (SBI),Phishing
60,sb-uaj7.vercel.app/,State Bank of India (SBI),Phishing
61,sb-p-dlhp.vercel.app/bbx,State Bank of India (SBI),Phishing
62,08398f34-7924-403b-822d-d88939f70d88-00-3elv7abqdc5bx.sisko.replit.dev/,State Bank of India (SBI),Phishing
63,hots.wmtreviewssales.com,State Bank of India (SBI),Phishing
64,sb-p-53rh.vercel.app/,State Bank of India (SBI),Phishing
65,sb-sggm.vercel.app/,State Bank of India (SBI),Phishing
66,updatesc.com/KYC_update_now,State Bank of India (SBI),Phishing
67,s-yn146.pages.dev/a,State Bank of India (SBI),Phishing
68,sb-p-23yp.vercel.app/,State Bank of India (SBI),Phishing
69,www.onlinesbicredits.com/,State Bank of India (SBI),Phishing
70,sb-bysf.vercel.app/bbx,State Bank of India (SBI),Phishing
71,sink.livik.cloud/,State Bank of India (SBI),Phishing
72,sbi-finance.icu,State Bank of India (SBI),Phishing
73,sb-jrxx.vercel.app/,State Bank of India (SBI),Phishing
74,invizible84.github.io/sbifake/,State Bank of India (SBI),Phishing
75,http://cybersupportsbi.co.in,State Bank of India (SBI),Phishing
76,lgy1uhb.vercel.app,State Bank of India (SBI),Phishing
77,sb-8hfj.vercel.app,State Bank of India (SBI),Phishing
78,s7tgqx4wd.pages.dev/s1,State Bank of India (SBI),Phishing
79,kupsn-m.replit.app/,State Bank of India (SBI),Phishing
80,onlinepayment.sbs,State Bank of India (SBI),Phishing
81,peppery-e.replit.app/,State Bank of India (SBI),Phishing
82,clahy-m.replit.app/,State Bank of India (SBI),Phishing
83,stetabankcreditcar.wixsite.com/sbi-credit-card,State Bank of India (SBI),Phishing
84,secest.replit.app,State Bank of India (SBI),Phishing
85,sb-3lqx.vercel.app/,State Bank of India (SBI),Phishing
86,sb-eldf.vercel.app/,State Bank of India (SBI),Phishing
87,farof.replit.app,State Bank of India (SBI),Phishing
88,klyj1tfy.vercel.app/,State Bank of India (SBI),Phishing
89,"sb-sigma-orpin.vercel.app/,",State Bank of India (SBI),Phishing
90,"sbpfpro-8jky.vercel.app/,",State Bank of India (SBI),Phishing
91,clickredeem.replit.app/,State Bank of India (SBI),Phishing
92,sb-66oe.vercel.app/,State Bank of India (SBI),Phishing
93,lumse.replit.app,State Bank of India (SBI),Phishing
94,sb-nxon.vercel.app/,State Bank of India (SBI),Phishing
95,sb-r2v8.vercel.app/,State Bank of India (SBI),Phishing
96,cok197-16.pages.dev/a1,State Bank of India (SBI),Phishing
97,gugj1-576.pages.dev/,State Bank of India (SBI),Phishing
98,sbpfpro-8jky.vercel.app/,State Bank of India (SBI),Phishing
99,hydhc1-36a.pages.dev/,State Bank of India (SBI),Phishing
100,ajol1-78a.pages.dev/,State Bank of India (SBI),Phishing
101,jis1-868.pages.dev/,State Bank of India (SBI),Phishing
102,sb-8bl1.vercel.app/,State Bank of India (SBI),Phishing
103,axkj.pages.dev/,State Bank of India (SBI),Phishing
104,axgh-123az.pages.dev/a,State Bank of India (SBI),Phishing
105,545646546464646464646464646.pages.dev/aa1,State Bank of India (SBI),Phishing
106,sbi-yono-online.vercel.app/,State Bank of India (SBI),Phishing
107,rewdz.replit.app,State Bank of India (SBI),Phishing
108,wrieai.replit.app,State Bank of India (SBI),Phishing
109,fodhj70.replit.app,State Bank of India (SBI),Phishing
110,sb-rcs5.vercel.app/,State Bank of India (SBI),Phishing
111,hbjdtyf.netlify.app,State Bank of India (SBI),Phishing
112,kurdigitmrr.replit.app/login.html,State Bank of India (SBI),Phishing
113,promosbi.site/,State Bank of India (SBI),Phishing
114,sxzb18-13.pages.dev/,State Bank of India (SBI),Phishing
115,testsbcoll-76.pages.dev/,State Bank of India (SBI),Phishing
116,dtybjk.vercel.app/,State Bank of India (SBI),Phishing
117,collectrewards.pages.dev/,State Bank of India (SBI),Phishing
118,sb-p7fk.vercel.app/,State Bank of India (SBI),Phishing
119,upateredeems.replit.app/,State Bank of India (SBI),Phishing
120,transversals.replit.app,State Bank of India (SBI),Phishing
121,yonobank.replit.app/,State Bank of India (SBI),Phishing
122,yonosbi.replit.app/,State Bank of India (SBI),Phishing
123,ytmnkl.vercel.app/,State Bank of India (SBI),Phishing
124,sbirewardzrs14453.replit.app/,State Bank of India (SBI),Phishing
125,sblrewd.vercel.app/,State Bank of India (SBI),Phishing
126,efootball-ooss.github.io/Test/,State Bank of India (SBI),Phishing
127,spoortika.github.io/Mybank/,State Bank of India (SBI),Phishing
128,cc2415c0-c363-4426-a790-81caf3ef30be-00-1l3l0y76g9jyh.pike.replit.dev,State Bank of India (SBI),Phishing
129,14453rewardsbi7i.replit.app,State Bank of India (SBI),Phishing
130,volcano-rewardsbi7i.replit.app/,State Bank of India (SBI),Phishing
131,dfcfcherewared.buzz/,State Bank of India (SBI),Phishing
132,profitable-moral-collaborativesoftware-rewardsbi7i.replit.app,State Bank of India (SBI),Phishing
133,sbisecurities.github.io/state-bank-of-India/,State Bank of India (SBI),Phishing
134,state-bank-of-india-create.github.io/-SBI-Securities/,State Bank of India (SBI),Phishing
135,4f2fd8dd-a799-42c5-9059-c803e0ddabf6-00-2ylwfgr9ah90z.pike.replit.dev,State Bank of India (SBI),Phishing
136,8a121b59-4664-4e2a-a147-2d51c56ab09a-00-1pdzkw4q7d4lp.pike.replit.dev,State Bank of India (SBI),Phishing
137,472aa9fe-6011-4a3c-9789-f426e2de5c6e-00-5h038kihilpi.pike.replit.dev/,State Bank of India (SBI),Phishing
138,50a996f6-9a43-4da2-9c18-3df64f51dc66-00-3v3js32ara3td.pike.replit.dev/,State Bank of India (SBI),Phishing
139,6bb19781-7387-4344-99f4-e4b562259207-00-2wovn0sfhxbr6.pike.replit.dev,State Bank of India (SBI),Phishing
140,ravisachincodinglife.github.io/SBI-Banking-Project/,State Bank of India (SBI),Phishing
141,sb-beln.vercel.app/,State Bank of India (SBI),Phishing
142,0d7c3e87-dd87-4b81-b978-3e86245c24bf-00-dw7jzme31kjl.sisko.replit.dev/yono/login.html,State Bank of India (SBI),Phishing
143,0d7c3e87-dd87-4b81-b978-3e86245c24bf-00-dw7jzme31kjl.sisko.replit.dev/retail/login1.html,State Bank of India (SBI),Phishing
144,a49cbc09-0bfb-4a0c-a888-d0002ccdfdfa-00-17xtgxjufsiia.sisko.replit.dev,State Bank of India (SBI),Phishing
145,adba5ec6-0ee4-4f6c-b940-6b8dd0d04e03-00-2ijw4f6qf0rkw.sisko.replit.dev/,State Bank of India (SBI),Phishing
146,a9f87840-a97f-4ffe-89b4-dded53f1be3b-00-3744y4tt03a1b.pike.replit.dev/,State Bank of India (SBI),Phishing
147,4d842edf-e711-482d-817e-fa0040cd26e9-00-2a8xatnstylyu.pike.replit.dev/,State Bank of India (SBI),Phishing
148,sb-ad21.vercel.app/,State Bank of India (SBI),Phishing
149,sbisony.blogspot.com,State Bank of India (SBI),Phishing
150,sb-174a.pages.dev/a,State Bank of India (SBI),Phishing
151,87589d5c-3319-4d9b-b4b7-75ce0d9a9202-00-2gpov9d2zvdrx.sisko.replit.dev/,State Bank of India (SBI),Phishing
152,http://98.70.54.147/login,State Bank of India (SBI),Phishing
153,thnrgj.vercel.app,State Bank of India (SBI),Phishing
154,log.chankepar.cfd/,State Bank of India (SBI),Phishing
155,wqhyk.vercel.app/,State Bank of India (SBI),Phishing
156,da.gd/o4RNMK,State Bank of India (SBI),Phishing
157,ab525792-0d59-4b1c-bdf0-c130ef6fbd5f-00-1r7ebzxilka2q.pike.replit.dev/,State Bank of India (SBI),Phishing
158,sbibankingonline.rf.gd,State Bank of India (SBI),Phishing
159,sbirewadserfd.vercel.app,State Bank of India (SBI),Phishing
160,sb-7615.vercel.app/,State Bank of India (SBI),Phishing
161,sbpfpr-e9lf.vercel.app/,State Bank of India (SBI),Phishing
162,ztgnjk.vercel.app/,State Bank of India (SBI),Phishing
163,sb-fdmz.vercel.app,State Bank of India (SBI),Phishing
164,nuiii8uu.pages.dev/,State Bank of India (SBI),Phishing
165,hgfvd.vercel.app,State Bank of India (SBI),Phishing
166,sb-q4n7.vercel.app/,State Bank of India (SBI),Phishing
167,jdhfgtr.vercel.app,State Bank of India (SBI),Phishing
168,sbpfpr-neon.vercel.app/,State Bank of India (SBI),Phishing
169,4285556c-66a7-45a3-a905-7652c91bf325-00-3gyn9n9ro02ez.sisko.replit.dev,State Bank of India (SBI),Phishing
170,bdtrh.vercel.app,State Bank of India (SBI),Phishing
171,sb-rduf.vercel.app,State Bank of India (SBI),Phishing
172,rebrand.ly/Rewardsbnk,State Bank of India (SBI),Phishing
173,sb-xzfc.vercel.app,State Bank of India (SBI),Phishing
174,sb-6xuz.vercel.app,State Bank of India (SBI),Phishing
175,86553513-7ebc-4f96-944d-959eb4194ae6-00-v7w6qt1a87vc.pike.replit.dev/,State Bank of India (SBI),Phishing
176,sb-b4g9.vercel.app,State Bank of India (SBI),Phishing
177,zbc-58t.pages.dev,State Bank of India (SBI),Phishing
178,bvccc.vercel.app/,State Bank of India (SBI),Phishing
179,sb-n5wq.vercel.app,State Bank of India (SBI),Phishing
180,sb-zg4v.vercel.app,State Bank of India (SBI),Phishing
181,lakshmy08.github.io/bank_ui/,State Bank of India (SBI),Phishing
182,qtzltnm.netlify.app/,State Bank of India (SBI),Phishing
183,sbn-55b7.vercel.app,State Bank of India (SBI),Phishing
184,jhur8ui.pages.dev/,State Bank of India (SBI),Phishing
185,tmkocj-264.pages.dev/a,State Bank of India (SBI),Phishing
186,sbd01-mauve.vercel.app/,State Bank of India (SBI),Phishing
187,mudraloanfinance.online/,State Bank of India (SBI),Phishing
188,sbn-c196.vercel.app/,State Bank of India (SBI),Phishing
189,ae006b7e-8b41-40f9-92e7-b26296df62db-00-11fbnh0u0srpl.pike.replit.dev,State Bank of India (SBI),Phishing
190,www.chandkebparchaloji.buzz,State Bank of India (SBI),Phishing
191,sb-wvo2.vercel.app,State Bank of India (SBI),Phishing
192,rdpnlsrmkrilxwe2adfadf.buzz/,State Bank of India (SBI),Phishing
193,sb-zbjo.vercel.app/,State Bank of India (SBI),Phishing
194,sb-7943.vercel.app,State Bank of India (SBI),Phishing
195,qvt7dws8tw.pages.dev,State Bank of India (SBI),Phishing
196,retailonlinesbisbi.vercel.app,State Bank of India (SBI),Phishing
197,sbn-main-walp.vercel.app/,State Bank of India (SBI),Phishing
198,chandkeparchalo.buzz,State Bank of India (SBI),Phishing
199,sbpfpro-zeta.vercel.app,State Bank of India (SBI),Phishing
200,35dfb100-b427-476c-af2b-0221248bec61-00-1dzuk3p5gu8wv.sisko.replit.dev,State Bank of India (SBI),Phishing
201,ramlakhankihelloresourse.buzz/login1.html,State Bank of India (SBI),Phishing
202,x2-puce.vercel.app/,State Bank of India (SBI),Phishing
203,sb-qgis.vercel.app/,State Bank of India (SBI),Phishing
204,peru-boring-automaticparallelization-raja2456in.replit.app/,State Bank of India (SBI),Phishing
205,df478903-9d72-4a81-9b5a-dc8e74085111-00-3aqviv7kz7vjn.sisko.replit.dev/,State Bank of India (SBI),Phishing
206,chartreuse-demanding-match-raja2456in.replit.app/,State Bank of India (SBI),Phishing
207,zdfkyt.netlify.app,State Bank of India (SBI),Phishing
208,hidden-fumbling-properties-raja2456in.replit.app/,State Bank of India (SBI),Phishing
209,agonizing-transparent-background-raja2456in.replit.app,State Bank of India (SBI),Phishing
210,50311d0e-25c7-403d-99ac-26753f9689e1-00-e9v1twgygg22.sisko.replit.dev,State Bank of India (SBI),Phishing
211,sbn-main-vxnf.vercel.app,State Bank of India (SBI),Phishing
212,open-offensive-driverwrapper-redmmblack.replit.app/,State Bank of India (SBI),Phishing
213,sbloihg.vercel.app/,State Bank of India (SBI),Phishing
214,royalblue-clearcut-resources-redmmblack.replit.app/,State Bank of India (SBI),Phishing
215,sbn-main-wjjx.vercel.app,State Bank of India (SBI),Phishing
216,sb-nh1l.vercel.app,State Bank of India (SBI),Phishing
217,kiuuyht.pages.dev/zxo,State Bank of India (SBI),Phishing
218,sbn-main-h7pd.vercel.app/,State Bank of India (SBI),Phishing
219,mediumpurple-vacant-conferences-rdeemrwrd.replit.app,State Bank of India (SBI),Phishing
220,limping-cluttered-procedurallanguage-rdeemrwrd.replit.app,State Bank of India (SBI),Phishing
221,bgytrdde.pages.dev/zxo,State Bank of India (SBI),Phishing
222,pra-2h.pages.dev/,State Bank of India (SBI),Phishing
223,k-1499.pages.dev/,State Bank of India (SBI),Phishing
224,uneven-preemptive-qbasic-rdeemrwrd.replit.app,State Bank of India (SBI),Phishing
225,sbn-main-roex.vercel.app/,State Bank of India (SBI),Phishing
226,hinsyt.pages.dev,State Bank of India (SBI),Phishing
227,nimble-huge-cryptocurrency-rdeemrwrd.replit.app/,State Bank of India (SBI),Phishing
228,fc0fac5b-bbaf-4f03-a0d2-743b1c9fb66d-00-3bp3rri86nd9a.pike.replit.dev,State Bank of India (SBI),Phishing
229,sbn-main-fg67.vercel.app/,State Bank of India (SBI),Phishing
230,048bbf22-030f-4c20-b498-97522b94a09e-00-2pf1xy4cidex6.sisko.replit.dev,State Bank of India (SBI),Phishing
231,chocolate-rectangular-applicationserver-rdeemrwrd.replit.app,State Bank of India (SBI),Phishing
232,sbn-main-esuq.vercel.app,State Bank of India (SBI),Phishing
233,eada594a-55bd-4f89-8e51-44c7859c85be-00-aubelet62qx2.pike.replit.dev,State Bank of India (SBI),Phishing
234,sbn-main-v4ap.vercel.app,State Bank of India (SBI),Phishing
235,goldendevil046-001-site1.otempurl.com/,State Bank of India (SBI),Phishing
236,slushy-portly-computergames-rdeemrwrd.replit.app,State Bank of India (SBI),Phishing
237,mam-unlawful-lemonchiffon-website.replit.app/,State Bank of India (SBI),Phishing
238,srtjvhk.vercel.app,State Bank of India (SBI),Phishing
239,f8b36500-0f99-44f2-8149-a8de8561970e-00-28ffszxxis0vl.pike.replit.dev/,State Bank of India (SBI),Phishing
240,axlwfmvkrs.replit.app/,State Bank of India (SBI),Phishing
241,cooperative-enormous-outcomes.replit.app/,State Bank of India (SBI),Phishing
242,373d897a-eaa9-46a1-859d-8df24f8cdee4-00-21kjv19gwa86o.pike.replit.dev,State Bank of India (SBI),Phishing
243,alarming-sane-emulatorslksdkjflknxclvjdlfkfj.replit.app,State Bank of India (SBI),Phishing
244,logn-sb-rwd.replit.app/,State Bank of India (SBI),Phishing
245,sbn-main-tcuc.vercel.app/,State Bank of India (SBI),Phishing
246,jis-129.pages.dev/a1,State Bank of India (SBI),Phishing
247,sbn-main-f97g.vercel.app/,State Bank of India (SBI),Phishing
248,sbn-main-igh3.vercel.app/,State Bank of India (SBI),Phishing
249,ioclrecruit.in/,Indian Oil Corporation Limited (IOCL),Phishing
250,finallyinertia.top/FiXwT8mUUwEEsqi?dfii1690361583599,Indian Oil Corporation Limited (IOCL),Phishing
251,www.indian-oils.com,Indian Oil Corporation Limited (IOCL),Phishing
252,settlexlcp.com/?_lp=1&_token=uuid_cat5jiesuvg_cat5jiesuvg6571ab11287c26.59781901,Indian Oil Corporation Limited (IOCL),Phishing
253,petrolpumpsdealerchyan.com,Indian Oil Corporation Limited (IOCL),Phishing
254,petrolpumpdealerchayan.com,Indian Oil Corporation Limited (IOCL),Phishing
255,indianoilcorporationsltd.com,Indian Oil Corporation Limited (IOCL),Phishing
256,www.zoominfo.com/c/amit-auto-center/1198057791,Indian Oil Corporation Limited (IOCL),Phishing
257,blueimpactnetwork.top,Indian Oil Corporation Limited (IOCL),Phishing
258,FitnessFanfare,Indian Oil Corporation Limited (IOCL),Phishing
259,bluemetricsolutions.top/?_lp=1&_token=uuid_21lfqjvdr9q_21lfqjvdr9q66a7abdbbb3266.86704710&_token=uuid_21lfqjvdr9q_21lfqjvdr9q66a7abdbbb3266.86704710,Indian Oil Corporation Limited (IOCL),Phishing
260,marketingmedia.pro,Indian Oil Corporation Limited (IOCL),Phishing
261,www.facebook.com/ads/library/?id=1008375024084468,Indian Oil Corporation Limited (IOCL),Phishing
262,www.facebook.com/ads/library/?id=474463121870849,Indian Oil Corporation Limited (IOCL),Phishing
263,www.facebook.com/ads/library/?id=673169871685069,Indian Oil Corporation Limited (IOCL),Phishing
264,www.facebook.com/ads/library/?id=1942554476249291,Indian Oil Corporation Limited (IOCL),Phishing
265,www.facebook.com/share/p/77rtKaadjqQL9nqo/?mibextid=oFDknk,Indian Oil Corporation Limited (IOCL),Phishing
266,marketingmediawhite.pro/?_lp=1&_token=uuid_21lfqjveo5l_21lfqjveo5l66ab8f684c2593.48374737&tp_aff_sub=%7B%7Badset.name%7D%7D-%7B%7Badset.id%7D%7D&tp_aff_sub2=%7B%7Bcampaign.name%7D%7D-%7B%7Bcampaign.id%7D%7D&tp_aff_sub3=%7B%7Bad.name%7D%7D-%7B%7Bad.id%7D%7D&pixel=288815295073656&media=FB&_token=uuid_21lfqjveo5l_21lfqjveo5l66ab8f684c2593.48374737,Indian Oil Corporation Limited (IOCL),Phishing
267,www.facebook.com/ads/library/?id=1146692326542711,Indian Oil Corporation Limited (IOCL),Phishing
268,www.facebook.com/ads/library/?id=456920137172432,Indian Oil Corporation Limited (IOCL),Phishing
269,www.facebook.com/ads/library/?id=873583457535758,Indian Oil Corporation Limited (IOCL),Phishing
270,www.facebook.com/ads/library/?id=858096969621049,Indian Oil Corporation Limited (IOCL),Phishing
271,blueorbitdigital.top/mQYLGQqV?tp_aff_sub=%7B%7Badset.name%7D%7D-%7B%7Badset.id%7D%7D&tp_aff_sub2=%7B%7Bcampaign.name%7D%7D-%7B%7Bcampaign.id%7D%7D&tp_aff_sub3=%7B%7Bad.name%7D%7D-%7B%7Bad.id%7D%7D&pixel=862256782419308&media=FB&fbclid=IwZXh0bgNhZW0CMTEAAR31l9gU8tmqgT9kxD0rSb9HV3MnXVOUO1prHkjaiOdqCs05JciCSIM7fD4_aem_g39-m3ui9jnQJN_nNaycMQ,Indian Oil Corporation Limited (IOCL),Phishing
272,www.facebook.com/share/pPGYuhUpy13qzgrk/?mibextid=WC7FNe,Indian Oil Corporation Limited (IOCL),Phishing
273,blueorbitdigital.top/mQYLGQqV?tp_aff_sub=%7B%7Badset.name%7D%7D-%7B%7Badset.id%7D%7D&tp_aff_sub2=%7B%7Bcampaign.name%7D%7D-%7B%7Bcampaign.id%7D%7D&tp_aff_sub3=%7B%7Bad.name%7D%7D-%7B%7Bad.id%7D%7D&pixel=862256782419308&media=FB#registerForm,Indian Oil Corporation Limited (IOCL),Phishing
274,www.facebook.com/permalink.php/?story_fbid=122114051582379438&id=61561383144926,Indian Oil Corporation Limited (IOCL),Phishing
275,m.facebook.com/story.php?id=61561383144926&story_fbid=122114051582379438,Indian Oil Corporation Limited (IOCL),Phishing
276,www.facebook.com/ads/library/?id=1126794358420025,Indian Oil Corporation Limited (IOCL),Phishing
277,www.facebook.com/ads/library/?id=4146728922220651,Indian Oil Corporation Limited (IOCL),Phishing
278,www.facebook.com/permalink.php/?story_fbid=122114051720379438&id=61561383144926,Indian Oil Corporation Limited (IOCL),Phishing
279,m.facebook.com/story.php?id=61561383144926&story_fbid=122114051720379438,Indian Oil Corporation Limited (IOCL),Phishing
280,indianoilcorporations.in,Indian Oil Corporation Limited (IOCL),Phishing
281,petrolpump-ksk.com/in,Indian Oil Corporation Limited (IOCL),Phishing
282,info@petrolpumpsdealerschayan.com,Indian Oil Corporation Limited (IOCL),Phishing
283,ioclapply.in,Indian Oil Corporation Limited (IOCL),Phishing
284,iocludr.com,Indian Oil Corporation Limited (IOCL),Phishing
285,petrolpumpdealervitrakchayan.in,Indian Oil Corporation Limited (IOCL),Phishing
286,indianoiluxtw.top,Indian Oil Corporation Limited (IOCL),Phishing
287,www.iocl-apply.in,Indian Oil Corporation Limited (IOCL),Phishing
288,fadedfable.digital/?media_type=image&ad_id=120219729854160682&adset_id=120219729854170682&adset_name=rgdyMJ8h+-+Copy&ad_name=modi20&placement=Facebook_Mobile_Feed&utm_campaign=1_3913376735648642_+modi20%2C25_fb_m55+-+03&fbclid=IwZXh0bgNhZW0BMABhZGlkAasbNRVrACoBHcXTIITafh-twounJcy1N-rAn_J2U6zwGeofPoRX6iAQbIz__3sSkbyCBw_aem_SxYYZhgYhnvspj4nHZy7tA&utm_medium=paid&utm_source=fb&utm_id=120219729854130682&utm_content=120219729854160682&utm_term=120219729854170682&sfnsn=wiwspwa,Indian Oil Corporation Limited (IOCL),Phishing
289,v1.mk/ioclpts,Indian Oil Corporation Limited (IOCL),Phishing
290,petrolpumpvitrkdealerchayan.com,Indian Oil Corporation Limited (IOCL),Phishing
291,indianioclpts.top,Indian Oil Corporation Limited (IOCL),Phishing
292,liocl.com/login,Indian Oil Corporation Limited (IOCL),Phishing
293,www.iiocl.com/?invitation_cod,Indian Oil Corporation Limited (IOCL),Phishing
294,ioclapply.net,Indian Oil Corporation Limited (IOCL),Phishing
295,indanenearme.in,Indian Oil Corporation Limited (IOCL),Phishing
296,iocl.com@indolj.cyou/?id=250622072724,Indian Oil Corporation Limited (IOCL),Phishing
297,iolpoi.cyou/#1750653633776,Indian Oil Corporation Limited (IOCL),Phishing
298,indol0.cyou?id=250621072000,Indian Oil Corporation Limited (IOCL),Phishing
299,iolhah.cyou?id=250622030956,Indian Oil Corporation Limited (IOCL),Phishing
300,iolxxw.cyou/?id=250710090233,Indian Oil Corporation Limited (IOCL),Phishing
301,iol68m.cyou/#1752210336818,Indian Oil Corporation Limited (IOCL),Phishing
302,iol3ax.cyou?id=250702094730,Indian Oil Corporation Limited (IOCL),Phishing
