S. No,Identified Phishing/Suspected Domain Name,Critical Sector Entity Name,Phishing/Suspected Domains (i.e. Class Label)
53,hdfc.i-on.store,HDFC Bank,Phishing
54,https://www.kosecbf.icu,HDFC Bank,Phishing
55,https://154.201.93.62,HDFC Bank,Phishing
56,h5.kosecbf.icu,HDFC Bank,Phishing
57,www.hdfc.balajigames.org,HDFC Bank,Phishing
58,get.myclaimoffercards.com,HDFC Bank,Phishing
59,https://get.onlinecardmyrewards.com/,HDFC Bank,Phishing
60,https://hdcarehelp.com,HDFC Bank,Phishing
61,ww.hhdfcbank.com,HDFC Bank,Phishing
62,www.res61.hdfccbank.com,HDFC Bank,Phishing
63,https://claim.mygetrewards.com,HDFC Bank,Phishing
64,https://mygetrewards.com,HDFC Bank,Phishing
65,https://cardgage.com/go/pixelplay,HDFC Bank,Phishing
66,https://35.154.33.8,HDFC Bank,Phishing
67,hdfcbank.vercel.app,HDFC Bank,Phishing
68,https://priyanshu.hdfc.app,HDFC Bank,Phishing
69,hdfcuat.bank.in,HDFC Bank,Phishing
70,t3.sms-api.xyz,HDFC Bank,Phishing
71,t2.sms-api.xyz,HDFC Bank,Phishing
72,t1.sms-api.xyz,HDFC Bank,Phishing
73,https://hdrewardcards.com,HDFC Bank,Phishing
74,https://tf5edq7h.pages.dev/h1,HDFC Bank,Phishing
75,https://mycardupgrades.com/,HDFC Bank,Phishing
76,http://pan-update-online1.web.app/,HDFC Bank,Phishing
77,t1.tkpooja.cloud,HDFC Bank,Phishing
78,T3.tkpooja.cloud,HDFC Bank,Phishing
79,T6.tkpooja.cloud,HDFC Bank,Phishing
80,https://www.mycardlimit.online,HDFC Bank,Phishing
81,https://t2.tkpooja.cloud/,HDFC Bank,Phishing
82,https://mycardhelps.com/,HDFC Bank,Phishing
83,my.claimofferreward.com,HDFC Bank,Phishing
84,getclaimofferhdfc.com,HDFC Bank,Phishing
85,https://hdfastco.icu,HDFC Bank,Phishing
86,https://hdfastcome.icu,HDFC Bank,Phishing
87,https://hdfc-neu-3-mlz5.vercel.app,HDFC Bank,Phishing
88,http://www.redeemmycards.in/hdfc/,HDFC Bank,Phishing
89,hdfc-76212.zendesk.com,HDFC Bank,Phishing
90,hdfc-neu-5.vercel.app,HDFC Bank,Phishing
91,https://hdfc-bankonline.com,HDFC Bank,Phishing
92,hdfc-update-pan.web.app,HDFC Bank,Phishing
93,hdfc-32-pan-update.web.app,HDFC Bank,Phishing
94,hdfc.osprocure-test.in,HDFC Bank,Phishing
95,hdfc.biz,HDFC Bank,Phishing
96,https://arithmeticpro.netlify.app/,HDFC Bank,Phishing
97,hdfcperksholidayoffer.rewardzpromo.com,HDFC Bank,Phishing
98,https://www.applyonlinehdfcbank.com/,HDFC Bank,Phishing
99,https://hdfc-hdfc-xi.vercel.app/,HDFC Bank,Phishing
100,hdfcba.zendesk.com,HDFC Bank,Phishing
101,hdfc-41891.zendesk.com,HDFC Bank,Phishing
102,https://hdfcbank-90690.zendesk.com,HDFC Bank,Phishing
103,https://hdfcbank-41511.zendesk.com,HDFC Bank,Phishing
104,https://www.netbankingshdfc.com,HDFC Bank,Phishing
105,hdfc.biz,HDFC Bank,Phishing
106,hdfcbank-27065.zendesk.com,HDFC Bank,Phishing
107,https://13.127.221.31,HDFC Bank,Phishing
108,https://myclaimspoint.com/,HDFC Bank,Phishing
109,https://15.206.192.241,HDFC Bank,Phishing
110,https://38.165.19.200,HDFC Bank,Phishing
111,app.hdfcstockmarket.cc,HDFC Bank,Phishing
112,https://www-hdfcbank-com.translate.goog/personal/pay/cards/credit-cards/regalia-gold-credit-card?_x_tr_sl=en&_x_tr_tl=hi&_x_tr_hl=hi&_x_tr_pto=tc,HDFC Bank,Phishing
113,https://hdfc8671.zendesk.com/,HDFC Bank,Phishing
114,https://h5.drhhfcvipxz.top,HDFC Bank,Phishing
115,https://hdrewardcard.com,HDFC Bank,Phishing
116,hdfc-neu-3-henna.vercel.app,HDFC Bank,Phishing
117,hdfcreward.cyou,HDFC Bank,Phishing
118,hdfc4810.zendesk.com,HDFC Bank,Phishing
119,h5.drhhfccxz.top,HDFC Bank,Phishing
120,hdfc8671.zendesk.com,HDFC Bank,Phishing
121,https://nhaifastag.info/,HDFC Bank,Phishing
122,https://i09.muletisunnyxx-g21.cloud/,HDFC Bank,Phishing
123,https://159.65.157.110,HDFC Bank,Phishing
124,https://3.6.82.17,HDFC Bank,Phishing
125,https://160.187.54.235,HDFC Bank,Phishing
126,maxtn.bigcityexperience.com,HDFC Bank,Phishing
127,https://dev-offshore.wealthfy.com,HDFC Bank,Phishing
128,https://apidocs.apibanking.com,HDFC Bank,Phishing
129,https://hdfcltdhelp.zendesk.com,HDFC Bank,Phishing
130,https://hkjhkhkhkhkhkhkhkhkhkh.pages.dev,HDFC Bank,Phishing
131,hdfc-bank-app.vercel.app,HDFC Bank,Phishing
132,hdfcbank-35747.zendesk.com,HDFC Bank,Phishing
133,https://webhdfc-810ce.firebaseapp.com/,HDFC Bank,Phishing
134,https://hdfpts.firebaseapp.com/,HDFC Bank,Phishing
135,hdfc-99121.zendesk.com,HDFC Bank,Phishing
136,hdfc-57378.zendesk.com,HDFC Bank,Phishing
137,hdfc.managecard.co.in,HDFC Bank,Phishing
138,https://in.appurse.com/downloads/com.snapwork.hdfc.html,HDFC Bank,Phishing
139,hdfcbank-48709.zendesk.com,HDFC Bank,Phishing
140,hdfc-49762.zendesk.com,HDFC Bank,Phishing
141,hdfc-neu-3.vercel.app,HDFC Bank,Phishing
142,hdfc-neu-2.vercel.app,HDFC Bank,Phishing
143,hdfc-jdhjfdg.vercel.app,HDFC Bank,Phishing
144,https://13.126.51.54,HDFC Bank,Phishing
145,hdfc-95999.zendesk.com,HDFC Bank,Phishing
146,mygetclaimpoints.com,HDFC Bank,Phishing
147,hdfc.managecard.in,HDFC Bank,Phishing
148,http://vktnkl.vercel.app,HDFC Bank,Phishing
149,https://15.206.113.1,HDFC Bank,Phishing
150,https://nhaifastag.com/,HDFC Bank,Phishing
151,hdfcbankinzhb.zendesk.com,HDFC Bank,Phishing
152,hdfc347.zendesk.com,HDFC Bank,Phishing
153,hdfc-4538.zendesk.com,HDFC Bank,Phishing
154,https://krishna.justchillstore.shop/,HDFC Bank,Phishing
155,https://drhhfc.com,HDFC Bank,Phishing
156,newfasthdfcvip.com,HDFC Bank,Phishing
157,https://fastnetpro.com,HDFC Bank,Phishing
158,newfasthdfc.com,HDFC Bank,Phishing
159,randomnewhc.com,HDFC Bank,Phishing
160,https://13.127.91.63,HDFC Bank,Phishing
161,hdfc-nine.vercel.app,HDFC Bank,Phishing
162,hdfc-15481.zendesk.com,HDFC Bank,Phishing
163,hdfc-75391.zendesk.com,HDFC Bank,Phishing
164,hdfcbank-84186.zendesk.com,HDFC Bank,Phishing
165,hdfcbank4992.zendesk.com,HDFC Bank,Phishing
166,https://www.hdfc.manageuserapp.com/,HDFC Bank,Phishing
167,https://182.79.233.118,HDFC Bank,Phishing
168,hdfc6e.zendesk.com,HDFC Bank,Phishing
169,hdfc-75745.zendesk.com,HDFC Bank,Phishing
170,hdfc.thewimpyswrath.com,HDFC Bank,Phishing
171,cardshdfc.com,HDFC Bank,Phishing
172,https://vite-react-tczo.vercel.app/,HDFC Bank,Phishing
173,radeempoints.com,HDFC Bank,Phishing
174,www.myhdfccards.com,HDFC Bank,Phishing
175,https://sites.google.com/view/hdfc-bank-credit-card/home,HDFC Bank,Phishing
176,https://arunwb.github.io/HDFCBankVideo2Locked.github.io/,HDFC Bank,Phishing
177,https://hi-1qrs.web.app/aa,HDFC Bank,Phishing
178,https://hi-1qrs.firebaseapp.com/aa,HDFC Bank,Phishing
179,https://khushalk21.github.io/hdfc-clone/,HDFC Bank,Phishing
180,hdfc4956.zendesk.com,HDFC Bank,Phishing
181,hd.dc8.live,HDFC Bank,Phishing
182,hdfc9113.zendesk.com,HDFC Bank,Phishing
183,hdfcbank4754.zendesk.com,HDFC Bank,Phishing
184,https://h-dfcp-0-int.vercel.app,HDFC Bank,Phishing
185,hdfcbank3180.zendesk.com,HDFC Bank,Phishing
186,www.hdfcinsurance.online,HDFC Bank,Phishing
187,https://vite-t-85sc.vercel.app/,HDFC Bank,Phishing
188,https://220.225.104.139:8005,HDFC Bank,Phishing
189,https://mygetrewardsclaim.com/,HDFC Bank,Phishing
190,hdfcbank3846.zendesk.com,HDFC Bank,Phishing
191,https://45-1em.pages.dev/,HDFC Bank,Phishing
192,dtrymn.vercel.app,HDFC Bank,Phishing
193,https://gamer0124.github.io/BTCH/playstore/index.html,HDFC Bank,Phishing
194,https://gamer0124.github.io/BTCH/,HDFC Bank,Phishing
195,hdfcinsurance.help,HDFC Bank,Phishing
196,https://hdfc-dil.vercel.app/,HDFC Bank,Phishing
197,https://free-office.xyz/,HDFC Bank,Phishing
198,http://hdfc.creditcardlogin.in/,HDFC Bank,Phishing
199,https://lmkdrt.vercel.app,HDFC Bank,Phishing
200,https://hdfccredit.in/playstore/index.html,HDFC Bank,Phishing
201,https://www.hdfccredit.in/,HDFC Bank,Phishing
202,https://getrewardspoints.com/,HDFC Bank,Phishing
203,https://online-hd.pages.dev/,HDFC Bank,Phishing
204,online-hdfc-card.pages.dev,HDFC Bank,Phishing
205,https://www.supportsmycards.in,HDFC Bank,Phishing
206,hdfczerox-news-projects-30bc6bd4.vercel.app,HDFC Bank,Phishing
207,https://claimvouchers.in/,HDFC Bank,Phishing
208,https://tsrbjhk.vercel.app,HDFC Bank,Phishing
209,https://da.gd/l0gin,HDFC Bank,Phishing
210,https://twdsa.bizinfotools.com/,HDFC Bank,Phishing
211,bizinfotools.com/,HDFC Bank,Phishing
212,hdfc-cpp.site,HDFC Bank,Phishing
213,mypointsrewards.com,HDFC Bank,Phishing
214,fileasis.com,HDFC Bank,Phishing
215,cpp-support.help,HDFC Bank,Phishing
216,https://www.hdfcreward.com/,HDFC Bank,Phishing
217,http://hdfc.cppio.info/,HDFC Bank,Phishing
218,hdfc-cpp.shop,HDFC Bank,Phishing
219,www.mycardloginhdfc.in,HDFC Bank,Phishing
220,hdfc-bank-new-opal.vercel.app,HDFC Bank,Phishing
221,hdfcbank.begenuin.com,HDFC Bank,Phishing
222,hdfc-cpp.life,HDFC Bank,Phishing
223,https://vjhdtry.vercel.app/,HDFC Bank,Phishing
224,https://mycardhdf.in,HDFC Bank,Phishing
225,https://plancppproo.com,HDFC Bank,Phishing
226,cppsupport.help,HDFC Bank,Phishing
227,www.hdfc.mymanageapp.com,HDFC Bank,Phishing
228,hdfcbankcreditcard.in,HDFC Bank,Phishing
229,hdfc-bank-mpower-learning-app.onlinehackz.com,HDFC Bank,Phishing
230,hdfc8630.zendesk.com,HDFC Bank,Phishing
231,hdfc-preview.vishalb.dev,HDFC Bank,Phishing
232,https://mail.myhelpcards.in,HDFC Bank,Phishing
233,https://test.esafgoldloan.site/,HDFC Bank,Phishing
234,hdfcbank8491.zendesk.com,HDFC Bank,Phishing
235,https://www.myhelpcards.in,HDFC Bank,Phishing
236,https://www.cardhelp.in,HDFC Bank,Phishing
237,hdfcbankfastag.in,HDFC Bank,Phishing
238,www.hdfcbanks.site,HDFC Bank,Phishing
239,priyanshu.hdfc.app,HDFC Bank,Phishing
240,test73.besthr.in,HDFC Bank,Phishing
241,ppplanprotection.com,HDFC Bank,Phishing
242,https://myhdfclogin.com/,HDFC Bank,Phishing
243,online-kychd.pages.dev,HDFC Bank,Phishing
244,https://ahmedtamim19050.github.io/hdfc/,HDFC Bank,Phishing
245,hdfcardcare.com,HDFC Bank,Phishing
246,hdfc.samcostocks.cc,HDFC Bank,Phishing
247,https://learnemp.github.io/HDFCBANK/,HDFC Bank,Phishing
248,hcdonline.site,HDFC Bank,Phishing
249,hdconline.site,HDFC Bank,Phishing
250,hdfcrecruitment.in,HDFC Bank,Phishing
251,play.hdfcincrase.today,HDFC Bank,Phishing
252,https://abcdlive.onedataentrysolution.in/,HDFC Bank,Phishing
253,https://eventh-demo.upgrade2linux.com/,HDFC Bank,Phishing
254,https://hdfclimit.site/,HDFC Bank,Phishing
255,hdfcards.com,HDFC Bank,Phishing
256,loginmyhdfc.com,HDFC Bank,Phishing
257,https://rewardsmycards.com/,HDFC Bank,Phishing
258,https://myclaimsreward.com/,HDFC Bank,Phishing
259,https://askcchelp.in,HDFC Bank,Phishing
260,https://fac-unions.com/p/contact.php,HDFC Bank,Phishing
261,mehrahdf.wvrgh.cloud,HDFC Bank,Phishing
262,onlinehdfccapitals.com,HDFC Bank,Phishing
263,hdfccardrewards.com,HDFC Bank,Phishing
264,www.hdfclive.onedataentrysolution.in,HDFC Bank,Phishing
265,https://capitalmorph.com/hdfc-dap-link,HDFC Bank,Phishing
266,hdfc-new-sv.vercel.app,HDFC Bank,Phishing
267,hdfc-sec-kohl-newoip.vercel.app,HDFC Bank,Phishing
268,netportall.com,HDFC Bank,Phishing
269,mycredit.cardlimit.live,HDFC Bank,Phishing
270,hdfcbank.netportall.com,HDFC Bank,Phishing
271,hdfccardbank.com,HDFC Bank,Phishing
272,https://online-hd4c.pages.dev/,HDFC Bank,Phishing
273,hdfc.zoutons.com,HDFC Bank,Phishing
274,https://loginhdcfc.buzz/,HDFC Bank,Phishing
275,https://hd-azq.pages.dev/,HDFC Bank,Phishing
276,https://pl.bizinfotools.com/,HDFC Bank,Phishing
277,https://instantconfirmation.site/,HDFC Bank,Phishing
